word,meaning
de,of
je,I
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that/than
un,a
il,he/it
et,and
à,at
a,have
ne,born
les,the
ce,this
en,in
on,we
ça,it
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
mais,but
y,there
me,me
dans,in
du,of the
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,to the/at the
avec,with
oui,yes
va,go
toi,you
fait,fact/do/done
ils,they
as,ace
être,be
faire,make
se,himself
comme,as
était,was
sur,sure
quoi,what
ici,right here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said/say
es,are
où,where
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
alors,so
dire,say
vais,am going to
comment,how
avez,have
bon,good
ou,or
très,very
même,even
merci,thank you
ont,have
jamais,never
aussi,also
chose,thing
voir,see
allez,going
tous,all
ces,these
deux,two
sa,her
faut,must
été,summer
êtes,are
ta,your
avoir,to have
fais,do
peut,can
autre,other
maintenant,now
encore,still/again
peu,little
vraiment,really
m,me
mes,my
temps,time
toujours,always
notre,our
vie,life
oh,Oh
juste,just
sans,without
avait,had
quelque,some
accord,agreement
vu,seen
fois,time
aller,go
trop,too much
viens,come
crois,think
dois,have to
père,father
dieu,God
homme,man
aux,the
leur,their
étais,was
besoin,need
femme,wife
personne,no one
avais,had
aime,love
chez,in/at the house of
vrai,true
ans,years
ses,his
mal,wrong
parler,speak
vos,your
après,after
mort,death
ca,it/that
eu,had
veut,wants
parce que,because
sera,will be
mieux,better
bonne,good
petit,small
tes,your
dis,tell
beaucoup,a lot
monsieur,gentleman
voilà,here
depuis,since
doit,must
mère,mother
quel,what/which
vas,going
vois,see
fille,girl
déjà,already
gens,people
donc,so
jour,day
il,it
autres,other
soir,evening
toute,all
ouais,yeah
argent,money
maison,house
nom,name
bonjour,hello
pense,thought
nos,our
cela,it
nuit,night
avons,have
ii,ii
merde,sh*t
cet,this
papa,dad
maman,mom
reste,stay
peur,fear
désolé,sorry
salut,hello
seul,alone
arrive,come
vite,quick
prendre,take
regarde,look
soit,is
air,air
quelle,what
passé,past
trois,three
savoir,know
plaît,please
choses,things
fils,son
ah,ah
bas,low
moins,less
entre,enter
passe,past
hé,hey
demain,tomorrow
appelle,call
grand,great
tête,head
voulez,want
faites,make
arrête,stop
hein,huh
attends,hold on
ok,ok
raison,reason
enfants,children
assez,enough
aurais,would
elles,they
voulais,wanted
sommes,are
jours,days
parle,speak
moment,moment
amour,love
toutes,all
heure,hour
puis,then
tard,late
tuer,kill
eh,eh
dû,must have
ami,friend
petite,small
partir,go
hommes,men
connais,know
aider,help
savez,know
gars,guys
combien,how much
tant,so
sait,know
part,share
voiture,car
pris,taken
problème,problem
aujourd’hui,today
coup,stroke
porte,door
serait,would be
prends,take
venir,come
travail,job
pu,could
famille,family
seule,alone
sens,meaning
allons,will go
putain,whore
idée,idea
ni,neither
contre,against
revoir,meet again
entendu,heard
comprends,understand
passer,pass
pendant,while
trouvé,find
trouver,find
quelques,a few
vient,come
vieux,old
aurait,would have
attention,Warning
demande,request
chercher,look for
pouvez,can
voici,here is
pourrait,could
sang,blood
histoire,history
amis,friends
sortir,exit
question,question
venez,come
rester,stay
frère,brother
ville,city
fini,finished
nouveau,new
eux,them
truc,thing
tiens,like
yeux,eyes
mois,month
laisse,leash
mec,guy
longtemps,long time
belle,beautiful
police,police
seulement,only
importe,matter
heures,hours
eau,water
car,because
super,great
cas,case
vont,will
tué,kill
terre,Earth
place,square
main,hand
ensemble,together
type,type
beau,beautiful
pardon,sorry
vers,towards
aucun,none
guerre,war
trouve,find
partie,part
suite,after
prie,pray
devant,in front of
compris,including
arrivé,come
mme,Mrs
leurs,their
étaient,were
mettre,to put
matin,morning
aide,help
dessus,above
sois,am
genre,kind
fin,end
perdu,lost
jeune,young
chérie,sweetheart
premier,first
attendez,wait
enfant,child
donne,given
venu,came
aimerais,would like to
droit,law
côté,side
chambre,bedroom
loin,far
donner,give
devrais,should
